Time,Mass,Temp1,HRR,Thickness,Temp2
 1.2000289E+002, 1.2332882E+001, 3.8719204E+002, 3.3189229E+001, 4.9693960E-002, 3.5410705E+002
 1.2120149E+002, 1.2329025E+001, 3.8856006E+002, 3.4979098E+001, 4.9691264E-002, 3.5583896E+002
 1.2240870E+002, 1.2325027E+001, 3.8950945E+002, 3.6657713E+001, 4.9688509E-002, 3.5708051E+002
 1.2360237E+002, 1.2321001E+001, 3.8951787E+002, 3.8235827E+001, 4.9685767E-002, 3.5784576E+002
 1.2480519E+002, 1.2316907E+001, 3.9098477E+002, 4.0080687E+001, 4.9683014E-002, 3.5870901E+002
 1.2602151E+002, 1.2312694E+001, 3.9542457E+002, 4.2365718E+001, 4.9680233E-002, 3.6102375E+002
 1.2723302E+002, 1.2308357E+001, 3.9436954E+002, 4.4573632E+001, 4.9677418E-002, 3.6191660E+002
 1.2841898E+002, 1.2304002E+001, 3.9488341E+002, 4.6627489E+001, 4.9674624E-002, 3.6190411E+002
 1.2964161E+002, 1.2299543E+001, 3.9585535E+002, 4.7782211E+001, 4.9671805E-002, 3.6297316E+002
 1.3082888E+002, 1.2295042E+001, 3.9741727E+002, 5.0284676E+001, 4.9668990E-002, 3.6411551E+002
 1.3201066E+002, 1.2290520E+001, 3.9723403E+002, 5.2648434E+001, 4.9666215E-002, 3.6482504E+002
 1.3322526E+002, 1.2285855E+001, 3.9815181E+002, 5.4722472E+001, 4.9663401E-002, 3.6553704E+002
 1.3440285E+002, 1.2281119E+001, 3.9900144E+002, 5.7484539E+001, 4.9660588E-002, 3.6638833E+002
 1.3563387E+002, 1.2276240E+001, 4.0087976E+002, 5.9203135E+001, 4.9657744E-002, 3.6754549E+002
 1.3682712E+002, 1.2271285E+001, 4.0422817E+002, 6.1175920E+001, 4.9654884E-002, 3.6910695E+002
 1.3801836E+002, 1.2266336E+001, 4.0651598E+002, 6.3551711E+001, 4.9652062E-002, 3.7156846E+002
 1.3922276E+002, 1.2261273E+001, 4.0912664E+002, 6.6376659E+001, 4.9649226E-002, 3.7329820E+002
 1.4040131E+002, 1.2256132E+001, 4.1035639E+002, 6.7824355E+001, 4.9646388E-002, 3.7506275E+002
 1.4160775E+002, 1.2250932E+001, 4.1372174E+002, 7.0266917E+001, 4.9643552E-002, 3.7684831E+002
 1.4282646E+002, 1.2245546E+001, 4.1324362E+002, 7.2632845E+001, 4.9640658E-002, 3.7854260E+002
 1.4402746E+002, 1.2240112E+001, 4.1431303E+002, 7.4369464E+001, 4.9637771E-002, 3.7899356E+002
 1.4521246E+002, 1.2234642E+001, 4.1531387E+002, 7.7714548E+001, 4.9634915E-002, 3.8027443E+002
 1.4641029E+002, 1.2229120E+001, 4.1932113E+002, 7.9096474E+001, 4.9632067E-002, 3.8207928E+002
 1.4760309E+002, 1.2223472E+001, 4.2111023E+002, 8.2048080E+001, 4.9629199E-002, 3.8417900E+002
 1.4882378E+002, 1.2217688E+001, 4.2245864E+002, 8.4902294E+001, 4.9626308E-002, 3.8532999E+002
 1.5000258E+002, 1.2211859E+001, 4.2385279E+002, 8.6635285E+001, 4.9623432E-002, 3.8744811E+002
 1.5120244E+002, 1.2206004E+001, 4.2401558E+002, 8.8897762E+001, 4.9620580E-002, 3.8767284E+002
 1.5242595E+002, 1.2199965E+001, 4.2375054E+002, 9.1601074E+001, 4.9617675E-002, 3.8876300E+002
 1.5362004E+002, 1.2193844E+001, 4.2380319E+002, 9.4942998E+001, 4.9614782E-002, 3.8880854E+002
 1.5482386E+002, 1.2187673E+001, 4.2667008E+002, 9.6657309E+001, 4.9611908E-002, 3.8991101E+002
 1.5601966E+002, 1.2181470E+001, 4.2581088E+002, 9.7168007E+001, 4.9609037E-002, 3.9073608E+002
 1.5722096E+002, 1.2175199E+001, 4.3013511E+002, 1.0059897E+002, 4.9606172E-002, 3.9248376E+002
 1.5840479E+002, 1.2168858E+001, 4.3222909E+002, 1.0337912E+002, 4.9603324E-002, 3.9384698E+002
 1.5962962E+002, 1.2162372E+001, 4.3489818E+002, 1.0648066E+002, 4.9600459E-002, 3.9620799E+002
 1.6082758E+002, 1.2155751E+001, 4.3482378E+002, 1.0947660E+002, 4.9597580E-002, 3.9747485E+002
 1.6202025E+002, 1.2149170E+001, 4.3559063E+002, 1.1053543E+002, 4.9594752E-002, 3.9795332E+002
 1.6321644E+002, 1.2142548E+001, 4.4285908E+002, 1.1250931E+002, 4.9591928E-002, 4.0099528E+002
 1.6441253E+002, 1.2135837E+001, 4.3845393E+002, 1.1503758E+002, 4.9589107E-002, 4.0173570E+002
 1.6560536E+002, 1.2129096E+001, 4.4216673E+002, 1.1721589E+002, 4.9586312E-002, 4.0264893E+002
 1.6681511E+002, 1.2122216E+001, 4.4935118E+002, 1.1959356E+002, 4.9583500E-002, 4.0574873E+002
 1.6801224E+002, 1.2115268E+001, 4.5111352E+002, 1.2193663E+002, 4.9580698E-002, 4.0869377E+002
 1.6921810E+002, 1.2108274E+001, 4.4839127E+002, 1.2438950E+002, 4.9577916E-002, 4.0973206E+002
 1.7040752E+002, 1.2101231E+001, 4.4532017E+002, 1.2678109E+002, 4.9575156E-002, 4.0884872E+002
 1.7160120E+002, 1.2094188E+001, 4.4344942E+002, 1.2593493E+002, 4.9572417E-002, 4.0760750E+002
 1.7280597E+002, 1.2087158E+001, 4.4487289E+002, 1.2567933E+002, 4.9569682E-002, 4.0771558E+002
 1.7400337E+002, 1.2080124E+001, 4.4340072E+002, 1.2726175E+002, 4.9566961E-002, 4.0806365E+002
 1.7521502E+002, 1.2073019E+001, 4.4813681E+002, 1.2824075E+002, 4.9564246E-002, 4.0830575E+002
 1.7640018E+002, 1.2065960E+001, 4.5478701E+002, 1.2894206E+002, 4.9561566E-002, 4.1216212E+002
 1.7762203E+002, 1.2058823E+001, 4.5386971E+002, 1.3156654E+002, 4.9558890E-002, 4.1430013E+002
 1.7880942E+002, 1.2051671E+001, 4.6079827E+002, 1.3289233E+002, 4.9556238E-002, 4.1584827E+002
 1.8000116E+002, 1.2044591E+001, 4.5773743E+002, 1.3271776E+002, 4.9553635E-002, 4.1799340E+002
 1.8121964E+002, 1.2037441E+001, 4.5465885E+002, 1.3099707E+002, 4.9551019E-002, 4.1773610E+002
 1.8242184E+002, 1.2030338E+001, 4.5150382E+002, 1.2901267E+002, 4.9548417E-002, 4.1604568E+002
 1.8362258E+002, 1.2023370E+001, 4.5565016E+002, 1.3012328E+002, 4.9545861E-002, 4.1619621E+002
 1.8482596E+002, 1.2016398E+001, 4.5773757E+002, 1.3062924E+002, 4.9543327E-002, 4.1828718E+002
 1.8601388E+002, 1.2009487E+001, 4.6119996E+002, 1.3164990E+002, 4.9540834E-002, 4.1982637E+002
 1.8722463E+002, 1.2002490E+001, 4.5771890E+002, 1.3529091E+002, 4.9538362E-002, 4.2043356E+002
