General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.99920839,105.344315,-1.078E-05,0.04832581,1.002848,1.005844,116.974921,-0.0363,0,0,-65.652,327.694,330.074,1013.636,-7.35,0
Standard used,ISO 5660-1,1,21.00001248,104.904047,-1.078E-05,0.04832581,1.002194,1.00363,116.974921,-0.0363,0,0,56.376,327.647,330.016,1013.657,124.821,0
Date of test,15/09/2009,2,21.00081657,104.463778,-1.078E-05,0.04832581,1.00154,1.001416,116.974921,-0.0363,0,0,178.404,327.6,329.958,1013.678,256.992,0
Time of test,13:12,3,21.0009798,104.903835,-1.502E-05,0.04832581,1.001052,0.991389,116.974921,-0.0362,0,0,263.734,327.571,329.927,1013.684,359.217,0
Heat flux (kW/m²),50,4,21.00076618,104.543586,-1.186E-05,0.04832581,1.001246,0.994241,116.974921,-0.0362,0,0,383.998,327.53,329.868,1013.695,281.018,0
Nominal duct flow rate (l/s),24,5,21.00049815,104.677736,-1.078E-05,0.04832581,1.001176,1.003908,116.974921,-0.0363,0,0,-7.89029932022095E+37,327.534,329.881,1013.679,264.707,0
Sampling interval (s),1,6,21.0000165,105.904862,-6.54E-06,0.04828633,1.000761,1.004263,116.974921,-0.0361,0,0,-2.00970067977905E+37,327.55,329.932,1013.674,350.614,0
Separation (mm),25,7,21.00054854,105.601744,-9.7E-06,0.04831575,1.001849,1.002301,116.974921,-0.0362,0,0,306.955,327.561,329.903,1013.676,396.052,0
Orientation,Horizontal,8,21.00092539,106.583297,-6.54E-06,0.04828633,1.002766,1.013764,116.974921,-0.0363,0,0,-7.89029932022095E+37,327.538,329.895,1013.664,191.269,0
Edge frame?,No,9,21.00119005,106.733597,-1.798E-05,0.04835399,1.001967,1.011075,116.974921,-0.0362,0,0,-2.13395760983505E+37,327.503,329.828,1013.61,413.386,0
Grid?,No,10,21.00103509,105.678647,-2.142E-05,0.05085208,1.001587,0.997707,116.974921,-0.0363,0,0,398.564,327.459,329.74,1013.575,355.702,0
Non-scrubbed?,Yes,11,21.00033894,105.325066,-1.294E-05,0.05145636,1.002527,0.99943,116.974921,-0.0363,0,0,-7.89029932022095E+37,327.45,329.777,1013.528,199.791,0
Substrate used? {Y/N},No,12,21.00038933,105.201386,-1.502E-05,0.0514463,1.001922,1.001658,116.974921,-0.0362,0,0,-2.00970067977905E+37,327.483,329.782,1013.464,418.151,0
Substrate,none,13,21.00065399,105.159457,-1.61E-05,0.05152402,1.002194,0.99472,116.974921,-0.0363,0,0,381.706,327.527,329.811,1013.408,345.383,0
Additional specimen preparation details,,14,21.0009245,104.97515,-1.61E-05,0.05146674,1.001998,0.999019,116.974921,-0.0361,0,0,-7.85762119308634E+37,327.531,329.861,1013.386,159.7,0
,,15,21.0009798,105.0531,-1.61E-05,0.0514463,1.002472,1.006109,116.974921,-0.0361,0,0,-2.13395760983505E+37,327.533,329.91,1013.363,392.759,0
Specimen,,16,21.0009798,105.127738,-1.61E-05,0.05140761,1.001999,1.010079,116.974921,-0.0362,0,0,424.819,327.569,329.934,1013.343,302.931,0
Sample description,Fisu 5,17,21.00012886,106.296125,-1.188E-05,0.05143608,1.00246,1.006504,116.974921,-0.0362,0,0,265.235,327.579,329.917,1013.337,257.576,0
Material name/ID,Koivu 2,18,21.0001213,106.906226,-1.078E-05,0.0514463,1.002341,1.009176,116.974921,-0.0359,0,0,277.049,327.56,329.949,1013.319,370.725,0
Specimen number,,19,21.00060295,106.129744,-6.54E-06,0.05140682,1.002743,1.008879,116.974921,-0.0362,0,0,479.4,327.587,329.945,1013.288,297.21,0
E (MJ/kg),13.1,20,21.00092539,105.982286,-1.394E-05,0.05147573,1.002129,1.000491,116.974921,-0.0361,0,0,419.327,327.605,329.962,1013.281,204.408,0
Initial mass (g),119.46,21,21.00119005,106.188106,-1.61E-05,0.05149584,1.001919,1.000917,116.974921,-0.0361,0,0,265.715,327.628,329.994,1013.234,250.241,0
Thickness (mm),20,22,21.00060962,105.301849,-2.032E-05,0.05153516,1.002761,1.001097,116.974921,-0.0362,0,0,517.517,327.645,330.022,1013.223,375.822,0
Surface area (cm²),100,23,21.00044374,104.488125,-1.294E-05,0.05142693,1.002437,0.992902,116.974921,-0.036,0,0,417.381,327.658,330.053,1013.19,282.255,0
Sponsor,,24,20.99897195,105.075935,-6.61E-06,0.05388384,1.001856,0.998537,116.974921,-0.0362,0,0,277.87,327.63,330.02,1013.161,390.604,0
Manufacturer,,25,20.99856753,105.718766,-1.377E-05,0.05452856,1.002454,1.010284,116.974921,-0.0359,0,0,496.605,327.613,330.019,1013.153,532.632,0
Test start time (s),76,26,20.99877686,106.452198,-1.195E-05,0.05459509,1.002052,1.015456,116.974921,-0.0362,0,0,355.765,327.592,329.965,1013.138,-7.73189899921417E+37,0
Time to ignition (s),20,27,20.99883556,106.675807,-1.5E-05,0.05461679,1.002331,1.007864,116.974921,-0.0363,0,0,266.589,327.654,330.067,1013.163,-2.04237880691365E+37,0
Time to flameout (s),750,28,20.9986253,107.198087,-1.61E-05,0.05457792,1.001841,1.005711,116.974921,-0.0362,0,0,399.855,327.63,330.059,1013.162,264.439,0
End of test criterion,ISO 5660-1:2002,29,20.99814887,107.371819,-7.79E-06,0.05460594,1.002069,1.004476,116.974921,-0.0362,0,0,363.774,327.649,330.018,1013.137,230.499,0
User EOT time (s),,30,20.99845013,107.752786,-1.792E-05,0.0545781,1.001971,0.995483,116.974921,-0.0363,0,0,326.176,327.629,330.023,1013.107,156.28,0
MLR EOT mass (g/m²),150,31,20.99856753,105.43272,-1.298E-05,0.05456725,1.002125,0.993059,116.974921,-0.0363,0,0,246.908,327.63,330.082,1013.1,327.465,0
MLR EOT time period (s),60,32,20.99898804,104.372418,-6.61E-06,0.05452839,1.002716,1.002984,116.974921,-0.0362,0,0,456.719,327.681,330.11,1013.133,421.684,0
Truncate graphs at EOT?,No,33,20.99910359,104.170436,-9.62E-06,0.05451771,1.002631,1.006452,116.974921,-0.0362,0,0,310.824,327.683,330.091,1013.138,157.391,0
Smooth data?,No,34,20.99868493,107.030322,-1.078E-05,0.05459509,1.002288,1.005919,116.974921,-0.0361,0,0,341.082,327.727,330.151,1013.131,302.627,0
Correct O2 for pressure?,No,35,20.99814206,106.158645,-1.5E-05,0.05461679,1.002611,1.012489,116.974921,-0.0363,0,0,499.421,327.735,330.215,1013.135,507.566,0
,,36,20.99824172,104.697642,-1.193E-05,0.05457792,1.002295,1.011026,116.974921,-0.0362,0,0,218.824,327.753,330.213,1013.116,198.469,0
Specifications: apparatus,,37,20.99850883,105.181946,-1.078E-05,0.05452856,1.002157,0.999023,116.974921,-0.0361,0,0,191.044,327.772,330.228,1013.162,232.381,0
C-factor (SI units),0.04518,38,20.99919552,104.972073,-1.493E-05,0.05459509,1.002197,0.995905,116.974921,-0.0361,0,0,337.603,327.738,330.247,1013.264,291.598,0
OD correction factor,1,39,20.99894615,104.992173,-1.188E-05,0.05453815,1.002021,1.001931,116.974921,-0.0363,0,0,372.357,327.741,330.211,1013.264,335.226,0
Duct diameter (m),0.114,40,20.99841505,107.923102,-1.495E-05,0.05459543,1.001319,0.997045,116.974921,-0.0362,0,0,280.355,327.693,330.125,1013.237,251.292,0
O2 delay time (s),15,41,20.9982995,109.395871,-1.61E-05,0.05461679,1.00147,0.997783,116.974921,-0.0363,0,0,254.168,327.66,330.095,1013.321,267.218,0
CO2 delay time (s),16,42,20.99808924,107.111426,-1.61E-05,0.05453906,1.002185,1.005632,116.974921,-0.036,0,0,472.378,327.661,330.085,1013.329,354.315,0
CO delay time (s),21,43,20.99866967,105.996635,-1.188E-05,0.05455703,1.0025,1.005851,116.974921,-0.0362,0,0,235.798,327.657,330.074,1013.123,235.114,0
,,44,20.99904581,105.960334,-1.495E-05,0.05452839,1.001814,1.006387,116.974921,-0.0363,0,0,307.94,327.657,330.092,1013.217,352.653,0
Laboratory,,45,20.99889426,105.000268,-1.61E-05,0.0545564,1.001685,1.012589,116.974921,-0.0362,0,0,465.668,327.625,330.123,1013.284,337.22,0
Laboratory name,VTT,46,20.9984169,104.573328,-1.195E-05,0.05456725,1.001496,1.007828,116.974921,-0.0357,0,0,306.266,327.659,330.128,1013.307,184.048,0
Operator,Anna Matala,47,20.99808676,105.398229,-1.5E-05,0.05456725,1.001791,1.001006,116.974921,-0.0362,0,0,379.368,327.709,330.175,1013.368,296.289,0
Filename,C:\CC5\DATA\09090043.CSV,48,20.99824172,105.950145,-1.61E-05,0.05208016,1.001976,1.007145,116.974921,-0.0361,0,0,511.991,327.703,330.159,1013.439,381.67,0
Report name,,49,20.99871816,107.092942,-1.195E-05,0.05143545,1.001468,0.999803,116.974921,-0.0362,0,0,309.975,327.683,330.171,1013.392,-7.73189899921417E+37,0
,,50,20.99883556,106.114238,-1.5E-05,0.0514463,1.000563,0.994158,116.974921,-0.0362,0,0,183.265,327.735,330.284,1013.458,-2.04237880691365E+37,0
,,51,20.99883556,106.845748,-1.186E-05,0.05148578,1.001599,0.997156,116.974921,-0.0362,0,0,501.553,327.79,330.31,1013.545,365.679,0
Pre-test conditions,,52,20.99820479,105.430445,-1.912E-05,0.05141812,1.001423,0.997871,116.974921,-0.0363,0,0,319.154,327.79,330.299,1013.566,277.846,0
Ambient temperature (°C),25,53,20.99782214,106.120865,-1.726E-05,0.05143545,1.001149,0.997803,116.974921,-0.0361,0,0,198.415,327.775,330.286,1013.569,339.594,0
Barometric pressure (Pa),103100,54,20.99839143,105.452847,-1.61E-05,0.05136892,1.001412,1.008179,116.974921,-0.0362,0,0,483.161,327.751,330.287,1013.612,434.449,0
Relative humidity (%),35.1,55,20.99878026,106.579088,-1.61E-05,0.05142586,1.001284,1.011841,116.974921,-0.0357,0,0,296.181,327.709,330.202,1013.618,303.66,0
,,56,20.99883556,106.536205,-1.61E-05,0.05140744,1.001462,1.007075,116.974921,-0.0359,0,0,366.234,327.68,330.147,1013.664,334.092,0
,,57,20.99988222,105.139555,-1.61E-05,0.05143545,1.001874,1.010652,116.974921,-0.0362,0,0,552.964,327.676,330.175,1013.712,482.091,0
Conditioning,,58,21.00017571,105.177704,-1.195E-05,0.0514463,1.001345,1.00759,116.974921,-0.0362,0,0,305.189,327.654,330.078,1013.699,265.097,0
Conditioned? {Y/N},No,59,20.99996297,106.048811,-1.922E-05,0.0514463,1.001004,0.995297,116.974921,-0.036,0,0,386.908,327.596,330.103,1013.697,249.429,0
Conditioning temperature (°C),N/A,60,21.00032819,105.410146,-1.307E-05,0.0514463,1.000355,0.995652,116.974921,-0.0362,0,0,397.098,327.675,330.231,1013.569,321.329,0
Conditioning RH (%),N/A,61,21.0008624,104.39447,-1.078E-05,0.05140761,1.000282,0.996538,116.974921,-0.0362,0,0,160.578,327.721,330.225,1013.424,212.112,0
,,62,21.0009798,103.935878,-1.493E-05,0.05143545,0.999937,0.990364,116.974921,-0.0361,0,0,219.878,327.653,330.083,1013.788,375.546,0
Data collected,,63,21.00076706,104.054746,-1.188E-05,0.05148562,1.000988,0.998171,116.974921,-0.0361,0,0,370.344,327.498,329.826,1014.573,347.783,0
CO/CO2 data collected?,Yes,64,21.00029126,104.450062,-1.078E-05,0.05145698,1.000869,1.00462,116.974921,-0.0362,0,0,232.531,327.248,329.476,1015.197,320.903,0
Mass data collected?,Yes,65,20.99996297,106.994607,-1.5E-05,0.05140698,0.999834,0.999937,116.974921,-0.0365,0,0,212.477,326.929,329.089,1015.653,377.96,0
Smoke data collected?,Yes,66,21.00053845,108.396291,-1.193E-05,0.05143562,1.000714,1.011587,116.974921,0.0116,0,0,329.368,326.623,328.66,1016.099,293.065,0
Soot mass data collected?,No,67,21.00241365,106.829906,-6.56E-06,0.0514463,1.000172,1.012188,116.974921,-0.0081,0,0,228.482,326.316,328.266,1016.544,442.518,0
Soot mass ratio (1:x),N/A,68,21.00328325,106.897898,-1.394E-05,0.0514463,0.99962,1.003842,116.974921,-0.0353,0,0,262.601,326.028,327.873,1017.039,438.024,0
Soot mass (g),N/A,69,21.00275121,108.042261,-1.186E-05,0.0514463,1.00124,1.01326,116.974921,-0.0279,0,0,123.631,325.734,327.441,1017.552,312.495,0
,,70,21.00216074,107.278956,-1.078E-05,0.0514463,0.999543,1.004301,116.974921,-0.0242,0,0,231.415,325.426,327.102,1018.052,334.62,0
Comments,,71,21.00205192,108.949319,-1.078E-05,0.0514463,0.999711,0.997249,116.974921,-0.0219,0,0,193.681,325.193,326.8,1018.591,361.54,0
Pre-test comments,,72,21.00269278,108.381759,-1.078E-05,0.05148578,1.000579,1.001516,116.974921,-0.0307,0,0,177.081,325.129,326.728,1019.121,348.377,0
After-test comments,,73,21.00306963,106.327272,-6.54E-06,0.05145636,0.999427,0.993035,116.974921,-0.0375,0,0,320,324.99,326.442,1019.6,317.505,0
,,74,21.00312404,106.425833,-9.7E-06,0.0514463,1.000132,0.994814,116.974921,-0.0338,0,0,-7.89029932022095E+37,324.765,326.177,1020.078,319.22,0
,,75,21.00291042,106.10457,-1.502E-05,0.0514463,1.000373,0.999687,116.974921,-0.0327,0,0,-2.00970067977905E+37,324.649,326.032,1020.522,382.546,0
,,76,21.00348678,104.495215,-7.76E-06,0.0514463,0.999412,0.990727,116.974921,-0.0343,0,0,366.654,324.622,325.945,1020.993,333.96,0
,,77,21.00408557,105.696809,-5.46E-06,0.05148562,0.999668,0.997789,117.052763,-0.0314,0,0,241.314,324.54,325.742,1021.45,310.724,0
,,78,21.0046234,107.356512,-1.394E-05,0.05141687,0.999637,1.003863,117.377439,-0.0344,0,0,363.907,324.366,325.699,1021.232,327.587,0
,,79,21.00473222,106.240132,-7.62E-06,0.05143624,0.998861,0.997199,117.25522,-0.0346,0,0,351.15,324.625,325.991,1020.94,306.508,0
,,80,21.00494584,105.309799,-1.818E-05,0.0514463,0.999692,1.005861,117.41233,-0.0312,0,0,331.048,324.925,326.33,1020.765,234.716,0
,,81,21.00478999,105.105277,-8.9E-06,0.05148516,0.998599,1.008061,117.601198,-0.0329,0,0,412.197,325.145,326.626,1020.53,317.153,0
,,82,21.00409401,104.855811,-9.68E-06,0.05149584,0.998676,1.003155,117.702272,-0.0347,0,0,378.876,325.391,326.937,1020.276,200.36,0
,,83,21.00520985,105.03803,-6.54E-06,0.05141687,0.9982,1.011999,117.769578,-0.0331,0,0,346.912,325.646,327.243,1019.933,374.879,0
,,84,21.00660441,106.494863,-9.7E-06,0.05139676,0.997102,1.004988,117.963977,-0.0341,0,0,357.172,325.878,327.522,1019.452,211.587,0
Events,,85,21.0073037,106.022029,-6.54E-06,0.05143624,0.996861,0.999271,117.876265,-0.0357,0,0,335.627,326.176,327.983,1018.998,121.332,0
Number of events,0,86,21.0071989,104.603908,-1.394E-05,0.05397318,0.997737,1.00373,117.778153,-0.0358,0,0,541.371,326.451,328.243,1018.461,334.949,0
,,87,21.00671725,103.071729,-2.034E-05,0.05461679,0.996966,0.997515,117.805735,-0.0336,0,0,436.257,326.663,328.507,1018.133,191.107,0
,,88,21.00618119,103.318065,-1.294E-05,0.0545773,0.994463,0.995841,117.884568,-0.0369,0,0,279.286,326.854,328.785,1017.783,182.583,0
,,89,21.00671323,104.196043,0.00025618,0.05452776,0.990977,0.996914,117.886714,-0.0366,0,0,485.472,326.952,328.861,1017.377,345.075,0
,,90,21.00709008,104.406453,6.145E-05,0.05455719,0.988909,0.988602,117.910296,-0.0354,0,0,436.35,327.007,328.944,1016.942,243.073,0
,,91,21.00821259,106.03049,-1.394E-05,0.05460673,0.983456,0.992971,117.932825,-0.0304,0,0,243.666,327.054,329.102,1016.539,296.084,0
,,92,21.00912354,105.297252,-1.186E-05,0.05453782,0.974101,1.000186,117.979753,-0.0361,0,0,533.749,327.127,329.159,1016.068,378.131,0
,,93,21.00864737,104.989032,-1.502E-05,0.05459667,0.958457,1.000086,117.901102,-0.036,0,0,272.515,327.156,329.252,1015.511,278.142,0
,,94,21.00848464,104.871191,-1.61E-05,0.05449834,0.951893,1.007516,117.894283,-0.0333,0,0,323.954,327.255,329.425,1015.114,331.52,0
,,95,21.0086963,103.674539,-1.61E-05,0.05450765,0.944116,1.011776,117.8723,-0.034,0,0,473.405,327.374,329.625,1014.729,360.952,0
,,96,21.00875021,105.420343,-1.61E-05,0.05451771,0.933219,1.006303,117.848295,-0.0353,0,0,360.146,327.533,329.821,1014.3,312.664,0
,,97,21.00917745,105.482059,-1.61E-05,0.05451771,0.943969,1.00577,117.805927,-0.0358,0,0,255.394,327.634,329.938,1013.904,219.027,0
,,98,21.00907265,104.978624,-1.186E-05,0.05451771,0.930272,1.004515,117.71444,-0.0318,0,0,481.543,327.745,330.319,1013.606,358.03,0
,,99,21.00859296,102.054106,-1.502E-05,0.05459667,0.968396,0.990014,117.621829,-0.0363,0,0,441.951,329.008,332.512,1013.67,293.747,0
,,100,21.00848464,98.394252,0.00025086,0.0545773,0.945867,0.993475,117.643779,-0.0386,0,0,-7.89029932022095E+37,331.294,336.025,1013.761,146.81,0
,,101,21.0086963,95.764582,0.00031886,0.05456725,0.944479,0.995021,117.153005,-0.034,0,0,-2.00970067977905E+37,333.931,339.556,1013.738,425.081,0
,,102,21.00896383,94.525708,0.0003231,0.05456725,0.932364,0.991429,116.906997,-0.0387,0,0,389.586,336.417,342.993,1013.753,332.045,0
,,103,21.00880462,93.437427,0.00032418,0.05456725,0.933317,0.998596,116.718681,-0.0374,0,0,-7.89029932022095E+37,338.689,346.21,1013.78,129.533,0
,,104,21.00875021,93.789094,0.00031994,0.05456725,0.933516,1.008969,116.509718,-0.0377,0,0,-2.00970067977905E+37,340.826,349.108,1013.8,344.39,0
,,105,21.00832493,94.551293,0.0003231,0.05452776,0.937419,1.004029,116.256025,-0.0354,0,0,328.667,342.498,351.619,1013.904,344.196,0
,,106,21.00843023,94.39642,0.00032418,0.05451771,0.921258,1.000971,115.991161,-0.0383,0,0,218.841,344.113,354.078,1013.668,284.541,0
,,107,21.00869297,92.945083,0.00032418,0.05455657,0.924121,1.006605,115.770897,-0.0375,0,0,117.882,345.611,356.309,1013.567,-7.76604239016495E+37,0
,,108,21.00832669,92.921281,0.00032418,0.05452793,0.908331,0.999455,115.615447,-0.0367,0,0,305.435,346.79,358.156,1013.748,-2.04237880691365E+37,0
,,109,20.99945819,92.252585,0.00059541,0.05455719,0.91053,0.988602,115.426482,-0.0366,0,0,369.576,347.98,360.067,1013.736,373.28,0
,,110,20.94703062,92.222314,0.00065602,0.05452776,0.912575,0.99398,115.299677,-0.0363,0,0,-7.89029932022095E+37,349.164,361.916,1013.753,272.197,0
,,111,20.87358307,91.949441,0.00092506,0.05459667,0.922694,0.999939,115.152535,-0.0364,0,0,-2.00970067977905E+37,350.273,363.626,1013.775,462.683,0
,,112,20.79810883,91.84736,0.0012611,0.05706433,0.913766,0.995924,114.944643,-0.0363,0,0,351.54,351.104,364.982,1014.33,345.448,0
,,113,20.72044946,92.011716,0.00160458,0.05768774,0.914748,0.998674,114.797879,-0.0364,0,0,144.993,351.842,366.243,1014.784,126.045,0
,,114,20.64838705,93.74631,0.00193746,0.06266216,0.918277,1.00802,114.69695,-0.0361,0,0,311.306,352.456,367.392,1015.278,196.937,0
,,115,20.58430917,92.58845,0.00226714,0.06886412,0.908503,1.005854,114.507348,-0.0358,0,0,402.323,353.029,368.285,1015.504,266.682,0
,,116,20.52869893,93.489543,0.00260527,0.1024543,0.90772,1.000224,114.337298,-0.0357,0,0,394.087,353.543,369.208,1015.755,283.983,0
,,117,20.48294542,92.849086,0.00267435,0.13394309,0.892045,1.003102,114.159684,-0.0362,0,0,213.088,354.151,370.289,1015.985,319.278,0
,,118,20.44502868,93.026995,0.00267011,0.15897353,0.907066,1.001861,113.982781,-0.0361,0,0,486.133,354.647,371.094,1016.208,350.96,0
,,119,20.41349282,93.333541,0.00294023,0.19593669,0.904267,0.988176,113.874926,-0.0363,0,0,402.582,355.015,371.959,1016.363,241.387,0
,,120,20.38683942,91.977673,0.0030093,0.22187744,0.895185,0.987358,113.797107,-0.0361,0,0,284.692,355.385,372.537,1016.552,328.417,0
,,121,20.36542686,92.139892,0.0030093,0.25325267,0.899196,0.997179,113.637548,-0.0362,0,0,480.08,355.692,373.193,1016.792,404.733,0
,,122,20.34821608,91.641795,0.0032752,0.27804743,0.906458,0.999701,113.478591,-0.0361,0,0,361.272,356.061,374.09,1017.045,241.508,0
,,123,20.33635411,91.704168,0.00334855,0.30748572,0.905537,1.002978,113.250114,-0.0363,0,0,254.911,356.536,374.854,1017.209,304.641,0
,,124,20.32670296,91.887129,0.00334115,0.32626663,0.903696,1.011124,113.092849,-0.0364,0,0,411.594,356.823,375.421,1017.42,301.381,0
,,125,20.31996323,92.409219,0.00333482,0.35636242,0.911284,1.008024,112.98057,-0.0358,0,0,286.899,356.997,375.746,1017.489,215.834,0
,,126,20.31203963,92.813388,0.00361219,0.37622482,0.903527,0.99712,112.884826,-0.0359,0,0,416.218,357.138,376.101,1017.589,230.097,0
,,127,20.30477137,92.532868,0.00368459,0.3993221,0.893652,0.999682,112.729331,-0.0363,0,0,483.127,357.12,376.211,1017.827,341.98,0
,,128,20.29801817,92.563408,0.00367611,0.41823725,0.904843,0.994916,112.524471,-0.0363,0,0,307.647,357.12,376.307,1017.981,212.283,0
,,129,20.29302688,91.747934,0.00367395,0.43534728,0.903335,0.988083,112.317509,-0.0362,0,0,230.661,357.381,376.72,1018.098,225.297,0
,,130,20.28847037,92.175876,0.00367395,0.45846711,0.901418,0.994044,112.042692,-0.036,0,0,375.011,357.567,377.143,1018.25,449.785,0
,,131,20.28412748,91.105445,0.00394095,0.47121266,0.902427,1.005737,111.751553,-0.0361,0,0,300.057,357.761,377.494,1018.504,288.185,0
,,132,20.28026624,91.748641,0.00400472,0.48802748,0.897069,1.002947,111.444764,-0.0361,0,0,219.543,358.078,377.87,1018.761,255.21,0
,,133,20.27608658,92.097604,0.00400788,0.50432316,0.899085,1.007145,111.229895,-0.0363,0,0,399.599,358.232,378.116,1019.085,398.571,0
,,134,20.27180006,91.37382,0.00410639,0.51994664,0.907567,1.011583,111.175243,-0.0362,0,0,471.868,358.37,378.481,1019.063,374.955,0
,,135,20.26903769,91.989639,0.00430224,0.53045843,0.886218,1.001684,111.072186,-0.0362,0,0,222.714,358.529,378.754,1019.007,209.736,0
,,136,20.26873046,92.754352,0.00434923,0.54733762,0.89963,0.990721,110.86426,-0.0361,0,0,206.213,358.753,379.061,1019.021,279.098,0
,,137,20.26920627,92.779232,0.00460789,0.55854432,0.900234,0.997315,110.659815,-0.0364,0,0,308.473,358.915,379.363,1018.971,349.964,0
,,138,20.26825814,94.263364,0.00468319,0.56803217,0.901508,0.999199,110.510022,-0.0362,0,0,-7.85762119308634E+37,358.942,379.345,1018.962,257.834,0
,,139,20.26584547,93.558046,0.00468005,0.57936986,0.909908,0.992768,110.397311,-0.0364,0,0,-2.00970067977905E+37,358.998,379.575,1019.021,290.575,0
,,140,20.26273793,92.247658,0.00495021,0.58729027,0.915409,0.995699,110.268231,-0.0365,0,0,442.324,359.11,379.755,1019.119,479.445,0
,,141,20.25952157,91.629859,0.00501506,0.59809417,0.906504,1.007947,110.121102,-0.0363,0,0,308.275,359.135,379.772,1019.201,213.052,0
,,142,20.25737331,91.249911,0.00501822,0.60609319,0.900218,1.00573,109.939752,-0.0363,0,0,247.622,359.172,379.838,1019.171,319.142,0
,,143,20.2554971,91.206747,0.00501929,0.61687763,0.896695,1.000412,109.751395,-0.0364,0,0,405.589,359.157,379.822,1019.283,341.042,0
,,144,20.25233917,91.337791,0.00502353,0.62482747,0.900898,1.007956,109.53264,-0.0357,0,0,324.274,359.086,379.784,1019.295,323.436,0
,,145,20.24889851,92.255926,0.00502044,0.63603715,0.897869,1.002695,109.286438,-0.0359,0,0,307.628,359.079,379.757,1019.119,329.868,0
,,146,20.24559462,92.849026,0.00501507,0.64364225,0.90422,0.991363,109.078012,-0.0365,0,0,315.291,359.043,379.723,1019.043,320.156,0
,,147,20.24386495,94.730728,0.00501822,0.65246007,0.925121,0.99651,108.999283,-0.0363,0,0,284.14,358.97,379.576,1018.998,297.844,0
,,148,20.2425253,94.256072,0.00501506,0.66180263,0.918058,0.996923,108.840822,-0.0363,0,0,271.089,358.86,379.39,1018.927,280.213,0
,,149,20.24268048,92.759612,0.00501398,0.67115486,0.926208,0.992757,108.632018,-0.0362,0,0,360.511,358.744,379.103,1018.879,311.533,0
,,150,20.24150759,91.898079,0.00501398,0.67802985,0.926782,1.001625,108.412025,-0.0361,0,0,376.063,358.527,378.716,1018.82,387.88,0
,,151,20.24096751,94.048033,0.00501822,0.68431041,0.917843,1.013457,108.302171,-0.0362,0,0,200.026,358.255,378.392,1018.782,251.89,0
,,152,20.24027224,93.922401,0.00501506,0.6906013,0.892624,1.007009,108.144388,-0.0365,0,0,219.173,358.027,378.109,1018.771,323.338,0
,,153,20.24160434,93.008613,0.00501398,0.69933982,0.903202,1.004258,107.960305,-0.036,0,0,422.934,357.883,377.929,1018.682,439.881,0
,,154,20.24305331,93.515709,0.00502245,0.70625493,0.919898,1.008415,107.808304,-0.0362,0,0,-7.89029932022095E+37,357.764,377.719,1018.776,309.745,0
,,155,20.24500548,95.350697,0.00501627,0.71242827,0.927115,0.996604,107.682014,-0.0358,0,0,-2.13395760983505E+37,357.539,377.361,1018.778,441.298,0
,,156,20.24776979,94.835359,0.00527973,0.71864818,0.923489,0.988614,107.484641,-0.036,0,0,326.381,357.398,377.085,1018.69,282.946,0
,,157,20.25176478,92.711601,0.00535841,0.72488962,0.911649,0.997988,107.319874,-0.0362,0,0,-7.73189899921417E+37,357.253,376.833,1018.549,244.071,0
,,158,20.25647192,91.954895,0.00535542,0.72865491,0.913575,0.99899,107.111046,-0.0358,0,0,-2.16810100078583E+37,357.166,376.604,1018.393,425.647,0
,,159,20.26114499,91.416781,0.00535847,0.73428127,0.923974,0.993917,106.882779,-0.036,0,0,324.556,357.062,376.484,1018.173,409.971,0
,,160,20.26678464,92.303993,0.00535109,0.73801643,0.920756,1.00812,106.684971,-0.036,0,0,142.043,357.131,376.553,1017.99,281.682,0
,,161,20.27289296,92.807021,0.00535741,0.74112723,0.92713,1.012793,106.490999,-0.0357,0,0,350.427,357.129,376.41,1017.852,428.473,0
,,162,20.27820268,94.28249,0.00535533,0.74432678,0.93764,1.002398,106.282277,-0.0358,0,0,279.201,356.954,376.071,1017.862,389.945,0
,,163,20.28286801,94.60012,0.00535425,0.7474279,0.938603,1.007012,106.138175,-0.0362,0,0,174.06,356.723,375.73,1017.697,155.971,0
,,164,20.28742452,94.949872,0.00535425,0.75057818,0.935288,1.006857,105.977594,-0.0359,0,0,428.899,356.6,375.509,1017.492,422.986,0
,,165,20.29219465,94.802728,0.00508305,0.75374831,0.926328,0.991724,105.799712,-0.0361,0,0,422.501,356.438,375.205,1017.414,324.037,0
,,166,20.29766005,92.834253,0.00502245,0.75431286,0.922536,0.995561,105.651157,-0.0362,0,0,204.002,356.352,375.124,1017.266,174.189,0
,,167,20.30115052,92.338418,0.00502037,0.75429274,0.933185,1.000512,105.465839,-0.0363,0,0,372.319,356.303,374.87,1017.208,307.957,0
,,168,20.30409835,93.043854,0.00475229,0.75678014,0.948891,0.996745,105.317569,-0.035,0,0,348.549,356.141,374.534,1017.39,274.207,0
,,169,20.30533772,94.806298,0.00468005,0.75745317,0.936732,0.998866,105.20312,-0.0357,0,0,223.949,355.99,374.421,1017.245,152.339,0
,,170,20.30655223,94.08868,0.00467897,0.75746323,0.928324,1.009378,105.137355,-0.0361,0,0,273.608,355.955,374.333,1017.093,270.405,0
