s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.1361096E+002, 1.4624185E+000,-4.1786806E-001,-1.0688528E+000,-2.0278830E-002, 2.0970634E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6155664E-003,-2.3610586E-002, 1.0053082E-004, 1.1021329E-004
 2.1483028E+002, 1.4617291E+000,-4.1748912E-001,-1.0297332E+000,-1.8875350E-002, 1.9300819E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4376973E-002, 1.4932197E-002, 1.0064624E-004, 1.1031376E-004
 2.1601793E+002, 1.4671112E+000,-4.1251519E-001,-1.1007419E+000,-5.2666847E-003, 1.8894459E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1730362E-002,-3.2518135E-002, 1.0069608E-004, 1.1034893E-004
 2.1721863E+002, 1.4638484E+000,-4.1274099E-001,-1.0508723E+000,-4.1081051E-003, 2.0398692E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2947625E-002, 1.6525742E-002, 1.0079327E-004, 1.1043186E-004
 2.1842679E+002, 1.4633423E+000,-4.1279175E-001,-1.0793887E+000,-1.3043987E-002, 2.0940754E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2705314E-003,-2.0941329E-002, 1.0091060E-004, 1.1053510E-004
 2.1963165E+002, 1.4658795E+000,-4.1698081E-001,-1.0676197E+000,-1.6949094E-002, 2.1421559E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5296643E-003,-1.4248589E-002, 1.0080479E-004, 1.1041539E-004
 2.2082162E+002, 1.4653675E+000,-4.1279527E-001,-1.0649217E+000,-1.7041777E-002, 2.0739519E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8932974E-003,-8.6516434E-003, 1.0086183E-004, 1.1045886E-004
 2.2200200E+002, 1.4638943E+000,-4.0988988E-001,-1.0576562E+000,-2.7378853E-002, 2.1780726E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0494233E-002,-9.2498979E-003, 1.0099711E-004, 1.1058092E-004
 2.2321373E+002, 1.4607332E+000,-4.1419096E-001,-1.0548639E+000,-2.6330889E-002, 2.2120669E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4561658E-003,-1.2531951E-002, 1.0091980E-004, 1.1049039E-004
 2.2442953E+002, 1.4585553E+000,-4.0363346E-001,-1.1054828E+000,-2.1855403E-002, 2.0530170E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3535673E-002,-5.1886274E-002, 1.0037686E-004, 1.0993418E-004
