s,kg/m2,C,C
Time,"null","null","null"
 4.9920000E+003, 5.4157265E-003, 1.8602000E+002, 1.8596232E+002
 5.0160000E+003, 5.4157227E-003, 1.8682000E+002, 1.8676238E+002
 5.0400000E+003, 5.4157186E-003, 1.8762000E+002, 1.8756244E+002
 5.0640000E+003, 5.4157141E-003, 1.8842000E+002, 1.8836249E+002
 5.0880000E+003, 5.4157093E-003, 1.8922000E+002, 1.8916255E+002
 5.1120000E+003, 5.4157041E-003, 1.9002000E+002, 1.8996260E+002
 5.1360000E+003, 5.4156985E-003, 1.9082000E+002, 1.9076266E+002
 5.1600000E+003, 5.4156924E-003, 1.9162000E+002, 1.9156271E+002
 5.1840000E+003, 5.4156859E-003, 1.9242000E+002, 1.9236277E+002
 5.2080000E+003, 5.4156788E-003, 1.9322000E+002, 1.9316282E+002
 5.2320000E+003, 5.4156711E-003, 1.9402000E+002, 1.9396288E+002
 5.2560000E+003, 5.4156628E-003, 1.9482000E+002, 1.9476293E+002
 5.2800000E+003, 5.4156538E-003, 1.9562000E+002, 1.9556298E+002
 5.3040000E+003, 5.4156442E-003, 1.9642000E+002, 1.9636304E+002
 5.3280000E+003, 5.4156337E-003, 1.9722000E+002, 1.9716309E+002
 5.3520000E+003, 5.4156224E-003, 1.9802000E+002, 1.9796314E+002
 5.3760000E+003, 5.4156103E-003, 1.9882000E+002, 1.9876319E+002
 5.4000000E+003, 5.4155972E-003, 1.9962000E+002, 1.9956324E+002
 5.4240000E+003, 5.4155831E-003, 2.0042000E+002, 2.0036329E+002
 5.4480000E+003, 5.4155678E-003, 2.0122000E+002, 2.0116334E+002
 5.4720000E+003, 5.4155514E-003, 2.0202000E+002, 2.0196339E+002
 5.4960000E+003, 5.4155337E-003, 2.0282000E+002, 2.0276344E+002
 5.5200000E+003, 5.4155147E-003, 2.0362000E+002, 2.0356349E+002
 5.5440000E+003, 5.4154941E-003, 2.0442000E+002, 2.0436354E+002
 5.5680000E+003, 5.4154720E-003, 2.0522000E+002, 2.0516359E+002
 5.5920000E+003, 5.4154482E-003, 2.0602000E+002, 2.0596364E+002
 5.6160000E+003, 5.4154227E-003, 2.0682000E+002, 2.0676368E+002
 5.6400000E+003, 5.4153951E-003, 2.0762000E+002, 2.0756373E+002
 5.6640000E+003, 5.4153655E-003, 2.0842000E+002, 2.0836378E+002
 5.6880000E+003, 5.4153337E-003, 2.0922000E+002, 2.0916382E+002
 5.7120000E+003, 5.4152994E-003, 2.1002000E+002, 2.0996387E+002
 5.7360000E+003, 5.4152626E-003, 2.1082000E+002, 2.1076392E+002
 5.7600000E+003, 5.4152231E-003, 2.1162000E+002, 2.1156396E+002
 5.7840000E+003, 5.4151806E-003, 2.1242000E+002, 2.1236401E+002
 5.8080000E+003, 5.4151350E-003, 2.1322000E+002, 2.1316405E+002
 5.8320000E+003, 5.4150860E-003, 2.1402000E+002, 2.1396410E+002
