s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 2.2320000E+003, 2.0600035E+002, 9.6499997E-001, 3.7551903E-010, 1.5020762E-005, 1.0789047E-001
 2.2440000E+003, 2.0700035E+002, 9.6499991E-001, 4.0630613E-010, 1.6252246E-005, 1.0789050E-001
 2.2560000E+003, 2.0800035E+002, 9.6499991E-001, 4.3947335E-010, 1.7578936E-005, 1.0789050E-001
 2.2680000E+003, 2.0900035E+002, 9.6499991E-001, 4.7519338E-010, 1.9007735E-005, 1.0789050E-001
 2.2800000E+003, 2.1000035E+002, 9.6499991E-001, 5.1365046E-010, 2.0546020E-005, 1.0789050E-001
 2.2920000E+003, 2.1100035E+002, 9.6499991E-001, 5.5504146E-010, 2.2201659E-005, 1.0789055E-001
 2.3040000E+003, 2.1200035E+002, 9.6499991E-001, 5.9957617E-010, 2.3983048E-005, 1.0789055E-001
 2.3160000E+003, 2.1300035E+002, 9.6499991E-001, 6.4747863E-010, 2.5899146E-005, 1.0789055E-001
 2.3280000E+003, 2.1400035E+002, 9.6499991E-001, 6.9898753E-010, 2.7959504E-005, 1.0789061E-001
 2.3400000E+003, 2.1500035E+002, 9.6499991E-001, 7.5435758E-010, 3.0174304E-005, 1.0789059E-001
 2.3520000E+003, 2.1600035E+002, 9.6499985E-001, 8.1385998E-010, 3.2554402E-005, 1.0789058E-001
 2.3640000E+003, 2.1700035E+002, 9.6499985E-001, 8.7778390E-010, 3.5111356E-005, 1.0789056E-001
 2.3760000E+003, 2.1800035E+002, 9.6499985E-001, 9.4643715E-010, 3.7857488E-005, 1.0789061E-001
 2.3880000E+003, 2.1900035E+002, 9.6499985E-001, 1.0201477E-009, 4.0805913E-005, 1.0789065E-001
 2.4000000E+003, 2.2000035E+002, 9.6499985E-001, 1.0992647E-009, 4.3970587E-005, 1.0789064E-001
 2.4120000E+003, 2.2100035E+002, 9.6499979E-001, 1.1841593E-009, 4.7366375E-005, 1.0789068E-001
 2.4240000E+003, 2.2200035E+002, 9.6499979E-001, 1.2752271E-009, 5.1009087E-005, 1.0789069E-001
 2.4360000E+003, 2.2300035E+002, 9.6499979E-001, 1.3728884E-009, 5.4915537E-005, 1.0789075E-001
 2.4480000E+003, 2.2400035E+002, 9.6499979E-001, 1.4775902E-009, 5.9103608E-005, 1.0789076E-001
 2.4600000E+003, 2.2500035E+002, 9.6499974E-001, 1.5898077E-009, 6.3592313E-005, 1.0789078E-001
 2.4720000E+003, 2.2600035E+002, 9.6499974E-001, 1.7100461E-009, 6.8401845E-005, 1.0789078E-001
 2.4840000E+003, 2.2700035E+002, 9.6499974E-001, 1.8388421E-009, 7.3553689E-005, 1.0789081E-001
 2.4960000E+003, 2.2800035E+002, 9.6499968E-001, 1.9767656E-009, 7.9070633E-005, 1.0789084E-001
 2.5080000E+003, 2.2900035E+002, 9.6499968E-001, 2.1244222E-009, 8.4976891E-005, 1.0789094E-001
 2.5200000E+003, 2.3000035E+002, 9.6499962E-001, 2.2824544E-009, 9.1298185E-005, 1.0789093E-001
 2.5320000E+003, 2.3100035E+002, 9.6499962E-001, 2.4515445E-009, 9.8061784E-005, 1.0789100E-001
 2.5440000E+003, 2.3200035E+002, 9.6499956E-001, 2.6324163E-009, 1.0529665E-004, 1.0789103E-001
 2.5560000E+003, 2.3300035E+002, 9.6499956E-001, 2.8258376E-009, 1.1303351E-004, 1.0789106E-001
 2.5680000E+003, 2.3400035E+002, 9.6499950E-001, 3.0326226E-009, 1.2130491E-004, 1.0789111E-001
 2.5800000E+003, 2.3500035E+002, 9.6499950E-001, 3.2536351E-009, 1.3014542E-004, 1.0789120E-001
 2.5920000E+003, 2.3600035E+002, 9.6499944E-001, 3.4897900E-009, 1.3959160E-004, 1.0789119E-001
 2.6040000E+003, 2.3700035E+002, 9.6499938E-001, 3.7420578E-009, 1.4968231E-004, 1.0789128E-001
 2.6160000E+003, 2.3800035E+002, 9.6499932E-001, 4.0114654E-009, 1.6045861E-004, 1.0789134E-001
 2.6280000E+003, 2.3900035E+002, 9.6499932E-001, 4.2991011E-009, 1.7196406E-004, 1.0789139E-001
 2.6400000E+003, 2.4000035E+002, 9.6499926E-001, 4.6061186E-009, 1.8424475E-004, 1.0789150E-001
 2.6520000E+003, 2.4100035E+002, 9.6499920E-001, 4.9337370E-009, 1.9734949E-004, 1.0789160E-001
 2.6640000E+003, 2.4200035E+002, 9.6499914E-001, 5.2832485E-009, 2.1132996E-004, 1.0789166E-001
 2.6760000E+003, 2.4300035E+002, 9.6499908E-001, 5.6560197E-009, 2.2624079E-004, 1.0789175E-001
 2.6880000E+003, 2.4400035E+002, 9.6499896E-001, 6.0534959E-009, 2.4213985E-004, 1.0789183E-001
 2.7000000E+003, 2.4500035E+002, 9.6499890E-001, 6.4772068E-009, 2.5908827E-004, 1.0789191E-001
 2.7120000E+003, 2.4600035E+002, 9.6499884E-001, 6.9287687E-009, 2.7715074E-004, 1.0789202E-001
 2.7240000E+003, 2.4700035E+002, 9.6499872E-001, 7.4098909E-009, 2.9639565E-004, 1.0789216E-001
 2.7360000E+003, 2.4800035E+002, 9.6499866E-001, 7.9223801E-009, 3.1689522E-004, 1.0789227E-001
 2.7480000E+003, 2.4900035E+002, 9.6499854E-001, 8.4681453E-009, 3.3872583E-004, 1.0789241E-001
 2.7600000E+003, 2.5000035E+002, 9.6499842E-001, 9.0492023E-009, 3.6196812E-004, 1.0789257E-001
