s,kg,C,kW,m
Time,"null","null","null","null"
 2.1601809E+002, 1.2301879E+001, 5.0014995E+002, 1.2197523E+002, 4.7155444E-002
 2.1720279E+002, 1.2290749E+001, 5.0223541E+002, 1.2281716E+002, 4.7140349E-002
 2.1841766E+002, 1.2279554E+001, 5.0029491E+002, 1.2291132E+002, 4.7125039E-002
 2.1960296E+002, 1.2268340E+001, 5.0210665E+002, 1.2361133E+002, 4.7109508E-002
 2.2082280E+002, 1.2257063E+001, 4.9966822E+002, 1.2379679E+002, 4.7093875E-002
 2.2202602E+002, 1.2245673E+001, 4.9975507E+002, 1.2424374E+002, 4.7078186E-002
 2.2320716E+002, 1.2234402E+001, 5.0239665E+002, 1.2500288E+002, 4.7062775E-002
 2.2441928E+002, 1.2223071E+001, 5.0634221E+002, 1.2495419E+002, 4.7047351E-002
 2.2561032E+002, 1.2211685E+001, 5.0440822E+002, 1.2434780E+002, 4.7031649E-002
 2.2681654E+002, 1.2200407E+001, 5.1229543E+002, 1.2412115E+002, 4.7015766E-002
 2.2801295E+002, 1.2189154E+001, 5.1444233E+002, 1.2368705E+002, 4.6999570E-002
 2.2920071E+002, 1.2178020E+001, 5.1462711E+002, 1.2250448E+002, 4.6982908E-002
 2.3041804E+002, 1.2166819E+001, 5.1682267E+002, 1.2277490E+002, 4.6965678E-002
 2.3163028E+002, 1.2155512E+001, 5.2000737E+002, 1.2315859E+002, 4.6947929E-002
 2.3280423E+002, 1.2144416E+001, 5.0994387E+002, 1.2271969E+002, 4.6930104E-002
 2.3403033E+002, 1.2133316E+001, 5.1577974E+002, 1.2155611E+002, 4.6912166E-002
 2.3522027E+002, 1.2122222E+001, 5.1210836E+002, 1.2104103E+002, 4.6894252E-002
 2.3641524E+002, 1.2111317E+001, 5.1105176E+002, 1.2109183E+002, 4.6876754E-002
 2.3762054E+002, 1.2100342E+001, 5.1841056E+002, 1.2052986E+002, 4.6859363E-002
 2.3882109E+002, 1.2089311E+001, 5.1228301E+002, 1.2039106E+002, 4.6841931E-002
 2.4000220E+002, 1.2078413E+001, 5.2015330E+002, 1.2139635E+002, 4.6824749E-002
 2.4122045E+002, 1.2067406E+001, 5.2217209E+002, 1.2070841E+002, 4.6807295E-002
 2.4242066E+002, 1.2056285E+001, 5.2283931E+002, 1.2087363E+002, 4.6789445E-002
 2.4360235E+002, 1.2045370E+001, 5.1901422E+002, 1.2065425E+002, 4.6771571E-002
 2.4480358E+002, 1.2034512E+001, 5.2003336E+002, 1.1997638E+002, 4.6753586E-002
 2.4602740E+002, 1.2023544E+001, 5.1822966E+002, 1.1813122E+002, 4.6735350E-002
 2.4721399E+002, 1.2012779E+001, 5.1441484E+002, 1.1720653E+002, 4.6717422E-002
 2.4840059E+002, 1.2002267E+001, 5.2029200E+002, 1.1615626E+002, 4.6699985E-002
 2.4960572E+002, 1.1991765E+001, 5.1715780E+002, 1.1528173E+002, 4.6682629E-002
 2.5081049E+002, 1.1981246E+001, 5.1698187E+002, 1.1473093E+002, 4.6665222E-002
 2.5202155E+002, 1.1970726E+001, 5.1778802E+002, 1.1409736E+002, 4.6647932E-002
 2.5320024E+002, 1.1960370E+001, 5.1555724E+002, 1.1407921E+002, 4.6630975E-002
 2.5442924E+002, 1.1949955E+001, 5.2595002E+002, 1.1411413E+002, 4.6614003E-002
 2.5561363E+002, 1.1939486E+001, 5.2186240E+002, 1.1408587E+002, 4.6596926E-002
 2.5680202E+002, 1.1929152E+001, 5.2719490E+002, 1.1478974E+002, 4.6579880E-002
 2.5801663E+002, 1.1918638E+001, 5.1692610E+002, 1.1509305E+002, 4.6562400E-002
 2.5921684E+002, 1.1908076E+001, 5.1435509E+002, 1.1545306E+002, 4.6544883E-002
 2.6040279E+002, 1.1897604E+001, 5.2088601E+002, 1.1563869E+002, 4.6527880E-002
 2.6160636E+002, 1.1887121E+001, 5.1570976E+002, 1.1576700E+002, 4.6511180E-002
 2.6280637E+002, 1.1876613E+001, 5.1951384E+002, 1.1405836E+002, 4.6494494E-002
 2.6402273E+002, 1.1866118E+001, 5.1493276E+002, 1.1484936E+002, 4.6477871E-002
 2.6522106E+002, 1.1855631E+001, 5.1973399E+002, 1.1483887E+002, 4.6461376E-002
 2.6643004E+002, 1.1845145E+001, 5.1224339E+002, 1.1469218E+002, 4.6445091E-002
 2.6761399E+002, 1.1834686E+001, 5.1067386E+002, 1.1528459E+002, 4.6429061E-002
 2.6882207E+002, 1.1824207E+001, 5.0916342E+002, 1.1591849E+002, 4.6413359E-002
 2.7002279E+002, 1.1813635E+001, 5.0769621E+002, 1.1571771E+002, 4.6397889E-002
 2.7120788E+002, 1.1803154E+001, 5.1241884E+002, 1.1514475E+002, 4.6382913E-002
 2.7242257E+002, 1.1792639E+001, 5.1606909E+002, 1.1551488E+002, 4.6368125E-002
 2.7360877E+002, 1.1782107E+001, 5.1712703E+002, 1.1618830E+002, 4.6353328E-002
 2.7482307E+002, 1.1771582E+001, 5.1689568E+002, 1.1583194E+002, 4.6338390E-002
 2.7603079E+002, 1.1760995E+001, 5.1171943E+002, 1.1489660E+002, 4.6323190E-002
 2.7720000E+002, 1.1750611E+001, 5.1556902E+002, 1.1560883E+002, 4.6308252E-002
 2.7842212E+002, 1.1740140E+001, 5.2005890E+002, 1.1502281E+002, 4.6293268E-002
 2.7962915E+002, 1.1729533E+001, 5.1533990E+002, 1.1486871E+002, 4.6278027E-002
 2.8083219E+002, 1.1719025E+001, 5.1680525E+002, 1.1522750E+002, 4.6262806E-002
 2.8201856E+002, 1.1708619E+001, 5.1710592E+002, 1.1482015E+002, 4.6247699E-002
 2.8321966E+002, 1.1698274E+001, 5.1156596E+002, 1.1408602E+002, 4.6232637E-002
 2.8440501E+002, 1.1687958E+001, 5.0937140E+002, 1.1355947E+002, 4.6217624E-002
 2.8562053E+002, 1.1677652E+001, 5.1245555E+002, 1.1315813E+002, 4.6202745E-002
 2.8681146E+002, 1.1667358E+001, 5.1115810E+002, 1.1230419E+002, 4.6188051E-002
 2.8800110E+002, 1.1657241E+001, 5.0871486E+002, 1.1179553E+002, 4.6173686E-002
 2.8923023E+002, 1.1647039E+001, 5.1584623E+002, 1.1109312E+002, 4.6159246E-002
 2.9042605E+002, 1.1636851E+001, 5.1296229E+002, 1.1022228E+002, 4.6144840E-002
 2.9162486E+002, 1.1626824E+001, 5.2076416E+002, 1.0970365E+002, 4.6130602E-002
 2.9280373E+002, 1.1616898E+001, 5.1915919E+002, 1.0948401E+002, 4.6116376E-002
 2.9400406E+002, 1.1607002E+001, 5.2309169E+002, 1.0954611E+002, 4.6101961E-002
 2.9520880E+002, 1.1597056E+001, 5.2440553E+002, 1.0878734E+002, 4.6087205E-002
 2.9640769E+002, 1.1587140E+001, 5.2831887E+002, 1.0798169E+002, 4.6072152E-002
 2.9761500E+002, 1.1577244E+001, 5.2339864E+002, 1.0854704E+002, 4.6056792E-002
 2.9883098E+002, 1.1567262E+001, 5.2061273E+002, 1.0804947E+002, 4.6041032E-002
 3.0000224E+002, 1.1557419E+001, 5.1991771E+002, 1.0888486E+002, 4.6025449E-002
 3.0122324E+002, 1.1547582E+001, 5.2186481E+002, 1.0787003E+002, 4.6009932E-002
 3.0241252E+002, 1.1537646E+001, 5.2425387E+002, 1.0775002E+002, 4.5994337E-002
 3.0361440E+002, 1.1527813E+001, 5.2307065E+002, 1.0880152E+002, 4.5978942E-002
 3.0480083E+002, 1.1518018E+001, 5.2105593E+002, 1.0861498E+002, 4.5963555E-002
 3.0600926E+002, 1.1508180E+001, 5.2290495E+002, 1.0756694E+002, 4.5948101E-002
 3.0720047E+002, 1.1498330E+001, 5.1378046E+002, 1.0805436E+002, 4.5932664E-002
 3.0843410E+002, 1.1488383E+001, 5.1758067E+002, 1.0767692E+002, 4.5917199E-002
 3.0960596E+002, 1.1478532E+001, 5.1366322E+002, 1.0831679E+002, 4.5902135E-002
 3.1083131E+002, 1.1468715E+001, 5.1469782E+002, 1.0734075E+002, 4.5887355E-002
 3.1200263E+002, 1.1458884E+001, 5.1093319E+002, 1.0789546E+002, 4.5872776E-002
 3.1321126E+002, 1.1449168E+001, 5.2026988E+002, 1.0808744E+002, 4.5858584E-002
 3.1442780E+002, 1.1439262E+001, 5.1706297E+002, 1.0681605E+002, 4.5844270E-002
 3.1561609E+002, 1.1429466E+001, 5.1868153E+002, 1.0714077E+002, 4.5830117E-002
 3.1681683E+002, 1.1419747E+001, 5.2772736E+002, 1.0681155E+002, 4.5816037E-002
 3.1800257E+002, 1.1410064E+001, 5.2719104E+002, 1.0676133E+002, 4.5801889E-002
 3.1922206E+002, 1.1400336E+001, 5.2593600E+002, 1.0687435E+002, 4.5787413E-002
 3.2042096E+002, 1.1390541E+001, 5.3157175E+002, 1.0663433E+002, 4.5772575E-002
 3.2161979E+002, 1.1380831E+001, 5.3027917E+002, 1.0712083E+002, 4.5757667E-002
 3.2281524E+002, 1.1371112E+001, 5.2212022E+002, 1.0714996E+002, 4.5742519E-002
 3.2400934E+002, 1.1361388E+001, 5.1808477E+002, 1.0739726E+002, 4.5727245E-002
 3.2520528E+002, 1.1351647E+001, 5.1828813E+002, 1.0765438E+002, 4.5712065E-002
 3.2643141E+002, 1.1341756E+001, 5.2020538E+002, 1.0712522E+002, 4.5696907E-002
 3.2760431E+002, 1.1331951E+001, 5.1743562E+002, 1.0769353E+002, 4.5682117E-002
 3.2881866E+002, 1.1322221E+001, 5.2049424E+002, 1.0691645E+002, 4.5667594E-002
 3.3000706E+002, 1.1312456E+001, 5.1479954E+002, 1.0760352E+002, 4.5653128E-002
 3.3121295E+002, 1.1302746E+001, 5.1384061E+002, 1.0641559E+002, 4.5638852E-002
