 (s), (kW/m²), (MJ/kg), (m²/kg),(g/s), (g/s·m²)
Time,HRR,EHC,SEA,MLR ,Specific MLR
355,149.6253734,12.56037707,34.96840988,0.105306417,11.91249057
356,149.2655845,12.94637776,33.51471211,0.101921,11.52952489
357,148.7479627,8.635363523,18.0747597,0.152272917,17.22544306
358,149.8333595,11.07360571,24.78197156,0.119611167,13.53067496
359,149.6333582,19.46822607,54.2085171,0.0679445,7.686029412
360,145.5841549,9.541689003,21.58136557,0.134878,15.25769231
361,146.6715273,9.969669601,21.21807223,0.130052083,14.71177413
362,144.7595013,10.83991793,26.95742911,0.118052,13.35429864
363,147.2521175,9.783115352,24.61185304,0.133056667,15.05165913
364,147.666268,9.762846074,21.89067086,0.133707917,15.12532994
365,146.3307472,10.00868231,23.40357503,0.129244167,14.62038084
366,145.1218358,12.94531044,33.00108735,0.09909975,11.21037896
367,145.1668947,11.74491948,25.37449804,0.109262167,12.3599736
368,145.2265676,16.81118374,24.98865111,0.076366,8.638687783
369,145.2285538,13.13476527,23.31315741,0.097742167,11.05680618
370,146.0895549,8.858973766,17.57509623,0.145776667,16.49057315
371,147.13609,9.118060946,18.03191749,0.142649083,16.13677413
372,148.7007082,8.183839778,15.99743794,0.160623167,18.17004148
373,150.596185,9.987198643,19.09812709,0.133297667,15.07892157
374,149.2544586,14.79385198,30.6300023,0.089186333,10.08895173
375,144.0236056,11.95051166,26.32833157,0.10653675,12.05166855
376,143.978507,9.479507335,22.30343092,0.134265417,15.18839555
377,145.7087908,13.97129102,38.66215979,0.09219375,10.42915724
378,146.5596368,17.14092992,47.48775486,0.075584417,8.550273379
379,144.0617014,8.973508991,27.08033588,0.141918333,16.05411011
380,144.8545305,8.085750639,20.20395792,0.15836675,17.91479072
381,147.2242485,10.38012252,20.78075282,0.12538025,14.1832862
382,146.3978361,12.2904416,37.0652271,0.105297833,11.91151961
383,141.6827009,18.44549256,49.54100864,0.067901417,7.681155732
384,142.5236221,9.138852204,18.98816809,0.137862917,15.59535256
385,142.3224437,6.922395605,11.27549532,0.181747833,20.55970965
386,141.006885,12.45159205,22.18471411,0.10010775,11.32440611
387,146.2636003,16.37787218,33.34548193,0.078946167,8.93056184
388,149.9022955,13.69327928,31.52475778,0.09677275,10.94714367
389,145.7959213,14.73793322,40.40455901,0.08745025,9.892562217
390,143.529811,13.7942165,32.44070729,0.091980833,10.40507164
391,145.3207063,12.27120909,30.77113064,0.104686917,11.84241139
392,147.4617097,8.86778551,21.8004677,0.146999667,16.62892157
393,145.1484718,9.660512501,26.70107606,0.132820333,15.02492459
394,143.3382655,14.78270058,30.55938323,0.08571575,9.69635181
395,145.6225655,9.119861987,15.48908303,0.141153833,15.96762821
396,148.0023707,9.364450654,19.70994273,0.139713583,15.804704
397,141.8545932,12.61273201,27.92434259,0.099422917,11.24693627
398,141.2813318,13.34659968,28.51923688,0.093576417,10.5855675
399,142.5209607,12.50238659,24.99659241,0.100771583,11.39950038
400,145.7028082,11.89905145,27.1221499,0.108245,12.2449095
401,142.4550032,10.59790487,30.13369597,0.118825583,13.44180807
402,142.1223532,11.74257517,34.57996758,0.106992,12.10316742
403,144.3942909,11.07215888,28.08673147,0.11528425,13.04120475
404,145.1955803,9.601305554,19.99026634,0.13368275,15.12248303
405,144.9597613,17.67371226,35.19140324,0.072505667,8.201998492
406,144.8292553,7.206980275,14.7513412,0.177645917,20.09569193
407,146.074633,7.100886474,14.89484158,0.1818505,20.57132353
408,145.5360129,16.0458936,29.18145734,0.080178667,9.069984917
409,146.9573635,12.33358897,16.30095234,0.1053305,11.91521493
410,148.6768357,14.61653761,28.39569167,0.089918917,10.17182315
411,146.7192215,16.37689113,31.57071312,0.079196833,8.958917798
412,146.4550546,13.16853865,27.70999478,0.098314833,11.12158748
413,146.3813426,9.351474536,15.65927114,0.138375083,15.65328997
414,149.4045851,11.40355975,23.15211729,0.115817917,13.10157428
415,147.3757331,12.23260017,31.36073488,0.106502417,12.04778469
416,146.946564,10.4682208,25.75255012,0.124090583,14.0373963
417,148.6015454,12.13687464,24.41710065,0.10823525,12.24380656
418,149.1327074,10.55818052,23.12734464,0.124863667,14.12484917
419,148.5191376,9.447054886,22.95425458,0.1389755,15.72121041
420,148.956614,12.42488104,28.1690424,0.105979,11.98857466
421,147.9902428,15.5218558,25.7632322,0.084283333,9.534313725
422,150.6034018,15.9012254,24.27526765,0.08372525,9.471182127
423,149.9928224,10.80640224,18.0607062,0.122699167,13.87999623
424,146.1980829,8.550080981,14.07533786,0.151155417,17.09902903
425,150.6759067,11.38217243,21.20063607,0.117022917,13.2378865
426,147.8101817,11.37469074,24.07312841,0.11487275,12.99465498
427,145.6827308,12.07239998,30.08696258,0.106676,12.06742081
428,149.3649482,12.52638247,27.49463558,0.105408417,11.92402903
429,147.5038291,10.91170969,19.10500636,0.119498583,13.51793929
430,145.855118,11.33691165,23.50718742,0.113731083,12.86550716
