s, (kW/m²), (MJ/kg), (m²/kg), (g/s),(g/s·m²),g
Time,HRR,EHC,SEA,MLR,Specific MLR ,Mass
288,146.1882857,11.19524731,52.91136702,0.130580667,13.05806667,82.633374
289,146.1430112,11.26471111,68.41084519,0.12973525,12.973525,82.47692
290,146.642958,12.28388384,71.9646049,0.119378333,11.93783333,82.375591
291,146.1948091,9.786510542,51.84806744,0.149384,14.9384,82.229345
292,145.7466815,10.42009723,22.67790696,0.13987075,13.987075,82.085314
293,145.4591592,10.20085376,28.40715521,0.142595083,14.25950833,81.947312
294,144.9837366,9.140899866,39.50710424,0.158609917,15.86099167,81.797776
295,144.5788527,10.78089822,39.78287918,0.1341065,13.41065,81.640182
296,145.2556161,13.94498538,38.20235092,0.104163333,10.41633333,81.531593
297,145.3647963,16.09205871,83.60507199,0.09033325,9.033325,81.427126
298,146.2409497,14.51035795,82.44441171,0.100783833,10.07838333,81.343288
299,146.1260619,9.861189333,41.11000754,0.148183,14.8183,81.217741
300,146.5389557,12.56457438,49.13555456,0.116628667,11.66286667,81.065919
301,146.5513544,18.70846462,77.28632418,0.07833425,7.833425,80.98637
302,146.7961035,12.83991765,26.18194511,0.114327917,11.43279167,80.891864
303,146.579977,12.94025441,40.25530433,0.113274417,11.32744167,80.765312
304,146.8471215,15.69368534,61.32390498,0.093570833,9.357083333,80.66939
305,147.372922,12.07442803,50.33366643,0.12205375,12.205375,80.565871
306,145.6293379,8.663273451,35.36629324,0.168099667,16.80996667,80.419186
307,145.1002033,6.531399172,31.20647424,0.222157917,22.21579167,80.228325
308,145.6499197,6.12421975,28.90522641,0.237826083,23.78260833,79.986218
309,146.0832187,7.227042368,22.12129559,0.202134167,20.21341667,79.768022
310,146.0183805,10.38189894,41.2322192,0.140647083,14.06470833,79.590675
311,145.063843,22.76537936,84.80266144,0.06372125,6.372125,79.489591
312,146.3061358,29.0035787,90.55189985,0.050444167,5.044416667,79.446535
313,146.8520749,22.92196858,87.31261074,0.064066083,6.406608333,79.379557
314,145.973928,17.21569991,65.5625988,0.084791167,8.479116667,79.315733
315,145.4923121,15.03998595,68.9707592,0.096737,9.6737,79.211968
316,146.158193,13.28707826,46.61284944,0.11000025,11.000025,79.123317
317,145.6088897,17.47264742,100.8768832,0.083335333,8.333533333,79.001073
318,144.0823908,16.18477433,77.02556311,0.089023417,8.902341667,78.948576
319,144.3085054,10.61058143,30.08965009,0.136004333,13.60043333,78.814064
