 (s),(kW/m²), (MJ/kg),(m²/kg), (g/s),(g/s·m²)
Time,HRR ,EHC,SEA ,MLR,Specific MLR 
263,98.29663868,0,-34.70708347,0.009752667,1.103242836
264,99.38125537,5.859479373,-2.408364284,0.149933167,16.96076546
265,96.01076928,8.276951887,-3.214121346,0.102542,11.59977376
266,98.32278921,10.38508292,-4.35892358,0.083694417,9.467694193
267,97.04807066,11.22171706,-4.941080262,0.076450417,8.648237179
268,96.49175032,0,0,-0.009667833,-1.093646305
269,96.03899745,30.65157382,-10.80791968,0.027697917,3.133248492
270,98.63278474,7.806633762,-3.482496143,0.111688833,12.63448341
271,96.75012058,5.981917017,-2.101964341,0.142976083,16.17376508
272,96.58885227,5.331166825,-1.848793264,0.160161083,18.11776961
273,95.5997104,6.218629907,-2.965285079,0.135898333,15.37311463
274,93.44075112,0,-78.05353227,0.004503,0.50938914
275,93.12885544,0,0,-0.020903167,-2.364611614
276,96.30103068,5.40083719,-2.759316797,0.157623917,17.8307598
277,98.0212663,10.57391905,-4.039336555,0.081947667,9.270098039
278,95.25668989,16.07835752,-6.644067576,0.052372833,5.924528658
279,97.0957839,8.359266811,-0.894188576,0.102679667,11.61534691
280,98.08828736,12.69711007,-4.210323522,0.068291167,7.725245098
281,96.11953281,6.639136995,-2.222602728,0.127983,14.47771493
282,98.14247807,12.51134639,-3.76981223,0.069343417,7.844277903
283,95.37116115,24.14840142,-7.649542141,0.0349125,3.949377828
284,93.34575899,10.85312302,-4.748122223,0.07603125,8.600820136
285,91.4493429,9.337745351,-3.635604553,0.086574667,9.793514329
286,94.1735629,9.933094386,-4.257945973,0.083810167,9.480788084
287,96.1422668,5.657215572,-2.290064469,0.1502325,16.9946267
288,94.93757299,13.8137042,-7.713927642,0.06075475,6.872709276
289,95.75193723,0,0,-0.00910925,-1.030458145
290,93.99553355,5.170465479,-2.374774183,0.160705167,18.1793175
291,93.77195616,7.442452606,-3.000381671,0.1113805,12.59960407
292,94.07003786,22.09379475,-5.571823539,0.037638583,4.257758296
293,96.82260176,28.39206089,-9.392022284,0.030146167,3.410199849
